time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
5084,3.398438,-0.0986,stop,8,19,4,8,2,1
5085,3.294271,-0.0899,stop,8,20,4,8,2,1
5086,3.198785,-0.1102,stop,8,21,4,8,2,1
5087,3.068577,-0.1218,stop,8,22,4,8,2,1
5088,2.955729,-0.1218,stop,8,23,4,8,2,1
5089,2.842882,-0.1102,stop,8,24,4,8,2,1
5090,2.730035,-0.1102,stop,8,25,4,8,2,1
5091,2.634549,-0.1073,stop,8,26,4,8,2,1
5092,2.530382,-0.0986,stop,8,27,4,8,2,1
5093,2.430556,-0.087,stop,8,28,4,8,2,1
5094,2.330729,-0.0841,stop,8,29,4,8,2,1
5095,2.248264,-0.0696,stop,8,30,4,8,2,1
5096,2.200521,-0.0493,stop,8,31,4,8,2,1
5097,2.126736,-0.058,stop,8,32,4,8,2,1
5098,2.039931,-0.0899,stop,8,33,4,8,2,1
5099,1.957465,-0.1073,stop,8,34,4,8,2,1
5100,1.857639,-0.1131,stop,8,35,4,8,2,1
5101,1.740451,-0.1218,stop,8,36,4,8,2,1
5102,1.649306,-0.1305,stop,8,37,4,8,2,1
5103,1.506076,-0.1392,stop,8,38,4,8,2,1
5104,1.371528,-0.1334,stop,8,39,4,8,2,1
5105,1.236979,-0.1363,stop,8,40,4,8,2,1
5106,1.124132,-0.1363,stop,8,41,4,8,2,1
5107,0.993924,-0.1276,stop,8,42,4,8,2,1
5108,0.846354,-0.1247,stop,8,43,4,8,2,1
5109,0.690104,-0.1218,stop,8,44,4,8,2,1
5110,0.555556,-0.1189,stop,8,45,4,8,2,1
5111,0.438368,-0.116,stop,8,46,4,8,2,1
5112,0.3125,-0.1131,stop,8,47,4,8,2,1
5113,0.208333,-0.1131,stop,8,48,4,8,2,1
5114,0.060764,-0.116,stop,8,49,4,8,2,1
5115,0,-0.0232,stop,8,50,4,8,2,1
5295,0.646701,0.0754,start,9,1,5,9,2,1
5296,0.564236,0.0725,start,9,2,5,9,2,1
5297,0.77691,0.0841,start,9,3,5,9,2,1
5298,0.859375,0.0928,start,9,4,5,9,2,1
5299,0.954861,0.1073,start,9,5,5,9,2,1
5300,1.063368,0.1247,start,9,6,5,9,2,1
5301,1.158854,0.1421,start,9,7,5,9,2,1
5302,1.293403,0.1566,start,9,8,5,9,2,1
5303,1.440972,0.1595,start,9,9,5,9,2,1
5304,1.601563,0.1711,start,9,10,5,9,2,1
5305,1.757813,0.174,start,9,11,5,9,2,1
5306,1.901042,0.1711,start,9,12,5,9,2,1
5307,2.078993,0.1711,start,9,13,5,9,2,1
5308,2.243924,0.1682,start,9,14,5,9,2,1
5309,2.374132,0.1595,start,9,15,5,9,2,1
5310,2.526042,0.1508,start,9,16,5,9,2,1
5311,2.703993,0.1827,start,9,17,5,9,2,1
5312,2.868924,0.203,start,9,18,5,9,2,1
5313,3.042535,0.1972,start,9,19,5,9,2,1
5314,3.224827,0.203,start,9,20,5,9,2,1
5315,3.411458,0.1943,start,9,21,5,9,2,1
5316,3.58941,0.1798,start,9,22,5,9,2,1
5317,3.74566,0.1624,start,9,23,5,9,2,1
5318,3.90191,0.1566,start,9,24,5,9,2,1
5319,4.023438,0.1305,start,9,25,5,9,2,1
5320,4.123264,0.0754,start,9,26,5,9,2,1
5321,4.192708,0.0377,start,9,27,5,9,2,1
5322,4.223091,0.029,start,9,28,5,9,2,1
5323,4.279514,0.0464,start,9,29,5,9,2,1
5324,4.318577,0.0377,start,9,30,5,9,2,1
5325,4.353299,0.0087,start,9,31,5,9,2,1
5326,4.418403,0.0203,start,9,32,5,9,2,1
5327,4.401042,-0.0058,start,9,33,5,9,2,1
5328,4.422743,0.0029,start,9,34,5,9,2,1
5329,4.435764,0.0261,start,9,35,5,9,2,1
5330,4.479167,0.0522,start,9,36,5,9,2,1
5331,4.513889,0.0725,start,9,37,5,9,2,1
5332,4.578993,0.0783,start,9,38,5,9,2,1
5333,4.639757,0.0986,start,9,39,5,9,2,1
5334,4.709202,0.0899,start,9,40,5,9,2,1
5335,4.809028,0.0899,start,9,41,5,9,2,1
5336,4.908854,0.1044,start,9,42,5,9,2,1
5337,5,0.0986,start,9,43,5,9,2,1
5338,5.091146,0.0957,start,9,44,5,9,2,1
5339,5.186632,0.0899,start,9,45,5,9,2,1
5340,5.282118,0.1015,start,9,46,5,9,2,1
5341,5.368924,0.0986,start,9,47,5,9,2,1
5342,5.438368,0.0899,start,9,48,5,9,2,1
5343,5.533854,0.0841,start,9,49,5,9,2,1
5344,5.62066,0.0638,start,9,50,5,9,2,1
5604,3.875868,-0.0696,stop,10,1,5,10,2,1
5605,3.819445,-0.0783,stop,10,2,5,10,2,1
5606,3.736979,-0.0725,stop,10,3,5,10,2,1
5607,3.650174,-0.0841,stop,10,4,5,10,2,1
5608,3.559028,-0.0986,stop,10,5,5,10,2,1
5609,3.476563,-0.1102,stop,10,6,5,10,2,1
5610,3.376736,-0.1073,stop,10,7,5,10,2,1
5611,3.268229,-0.1015,stop,10,8,5,10,2,1
5612,3.177083,-0.0986,stop,10,9,5,10,2,1
5613,3.077257,-0.0928,stop,10,10,5,10,2,1
5614,3.003472,-0.087,stop,10,11,5,10,2,1
5615,2.925347,-0.0754,stop,10,12,5,10,2,1
5616,2.842882,-0.0754,stop,10,13,5,10,2,1
